521,16,3,10,49,3,13,125,15,24,43,16,93,38,6,22,4,16,25
11,444,2,14,4,1,8,20,1,6,7,9,15,3,1,1,0,20,25
11,4,1338,6,4,40,30,6,10,10,81,33,19,9,8,0,1,19,27
5,6,2,615,12,5,11,10,0,6,5,21,27,29,1,3,1,5,5
5,5,1,1,382,1,4,15,2,11,10,5,9,0,1,0,0,2,3
7,7,25,19,4,1158,8,7,1,24,37,23,18,2,1,0,1,7,4
1,10,8,12,2,2,432,4,12,19,16,36,7,21,2,0,2,1,28
52,13,0,3,25,3,13,1006,4,88,26,13,59,29,3,17,9,8,15
4,2,1,1,2,0,11,2,1450,2,23,13,13,3,1,1,0,13,19
12,7,2,6,24,14,40,135,0,647,15,10,43,56,6,5,7,4,13
10,7,7,4,9,5,21,6,11,3,533,22,12,8,6,0,0,6,34
20,11,38,18,8,9,53,29,18,10,80,592,41,7,4,3,2,27,52
45,15,6,8,8,7,13,44,8,28,53,22,1236,37,1,3,1,15,53
23,5,0,25,2,2,28,27,7,34,11,3,46,1122,4,0,25,6,16
9,5,8,9,3,2,24,5,12,9,117,8,5,26,1191,1,2,3,20
81,9,4,10,12,2,2,89,0,21,0,9,51,7,1,320,1,16,8
3,18,4,3,3,3,62,15,3,6,20,2,9,140,5,0,353,4,22
12,12,4,0,1,7,2,18,7,4,7,11,15,5,3,1,1,1220,57
19,30,14,11,1,4,45,33,36,13,55,41,47,24,11,3,3,151,559
