560,7,5,8,8,5,9,53,18,23,35,48,86,60,12,52,7,8,38
17,441,3,12,3,3,3,8,0,3,1,29,21,0,2,3,5,15,23
9,4,1394,3,2,42,10,3,11,6,47,64,11,7,17,0,6,8,12
4,5,2,631,4,13,12,5,1,2,3,24,20,24,2,5,4,4,4
27,4,3,6,351,4,3,11,1,5,9,11,10,3,0,3,2,1,3
8,5,18,14,3,1209,1,3,2,15,17,33,13,3,2,2,1,2,2
3,5,5,14,0,6,391,4,25,11,15,60,8,26,3,0,11,0,28
140,10,2,8,12,4,4,868,5,86,12,35,87,35,4,42,8,4,20
1,1,2,1,0,1,7,5,1468,0,12,19,14,5,3,1,1,3,17
33,6,8,8,21,21,24,84,3,638,8,34,50,72,7,5,13,0,11
12,5,17,5,4,16,8,3,21,3,460,75,26,5,17,1,2,4,20
17,5,29,12,5,13,28,13,27,5,36,716,44,9,10,4,5,9,35
49,10,12,10,0,9,4,18,17,21,34,54,1233,60,7,12,1,5,47
9,5,1,20,0,2,20,16,8,13,10,11,24,1127,5,3,96,7,9
10,2,15,14,0,4,8,3,17,13,33,23,12,27,1248,3,5,3,19
42,5,5,6,5,2,1,49,0,23,0,10,30,19,0,420,1,14,11
8,13,3,4,1,8,14,7,4,7,9,28,10,71,12,0,461,6,9
10,19,5,0,2,1,1,13,10,3,15,42,22,6,6,2,1,1145,84
21,18,23,12,0,8,29,15,41,13,34,116,64,19,14,5,10,84,574
