533,9,7,7,14,4,11,102,8,35,16,32,80,52,19,42,11,11,49
17,409,3,5,5,2,12,13,0,7,0,26,17,1,4,1,9,11,50
8,2,1406,2,6,42,17,3,7,8,39,36,9,1,34,0,4,8,24
5,8,1,607,7,12,17,7,0,7,3,19,19,19,15,6,6,3,8
25,4,0,1,358,5,5,10,1,15,3,9,6,2,3,2,1,1,6
6,3,35,12,5,1207,3,5,1,14,12,17,12,1,8,1,1,5,5
6,2,9,12,1,3,440,3,14,8,6,38,5,16,8,0,10,0,34
67,12,5,6,17,5,13,920,5,123,6,22,60,26,8,29,19,7,36
3,1,3,2,0,1,12,7,1445,1,5,27,6,2,10,0,2,8,26
25,5,8,4,20,20,37,68,3,695,6,11,41,51,10,4,16,2,20
16,3,29,5,8,10,16,11,9,13,423,38,15,3,53,0,9,3,40
18,5,34,11,10,15,53,13,16,9,30,653,33,7,38,2,5,11,59
46,8,15,6,1,16,13,26,4,37,17,34,1194,42,20,9,4,8,103
14,4,3,27,5,2,41,17,6,24,7,8,26,1039,41,3,100,6,13
13,3,8,6,3,7,8,5,9,6,17,6,15,8,1321,1,6,4,13
46,4,5,3,6,3,4,58,0,26,0,4,29,11,1,411,2,14,16
12,9,8,2,1,4,13,7,1,6,8,9,7,48,32,0,490,4,14
12,12,8,1,1,1,2,16,9,3,7,20,17,6,6,5,3,1154,104
24,10,28,9,2,10,41,16,31,21,21,87,38,20,32,4,15,70,621
