460,13,6,7,24,4,7,143,16,16,35,28,84,41,10,94,4,20,30
13,438,1,13,7,2,14,11,0,3,5,13,18,2,2,3,5,24,18
9,4,1346,1,2,37,10,9,30,13,63,31,24,6,33,9,3,10,16
7,9,2,594,4,8,20,12,0,3,7,19,15,34,8,13,3,7,4
18,2,3,9,363,2,8,17,2,3,8,6,7,1,1,4,0,1,2
8,4,36,17,4,1189,7,9,3,16,17,8,15,3,5,6,1,3,2
2,5,2,10,2,4,445,5,25,7,25,21,7,13,6,0,5,3,28
32,27,0,3,22,2,13,1083,2,43,11,15,30,13,5,52,7,10,16
1,1,1,1,0,1,5,10,1469,0,23,12,3,3,3,1,0,9,18
23,12,2,8,23,21,43,194,1,573,7,13,28,49,9,22,8,1,9
13,3,18,6,5,11,13,17,9,4,512,23,12,5,24,0,2,9,18
12,15,31,14,12,14,72,38,22,11,72,576,32,12,11,8,4,19,47
31,15,5,10,0,9,14,101,31,16,41,24,1175,42,9,22,1,15,42
15,4,0,14,1,3,41,68,15,25,11,0,24,1060,11,7,68,12,7
13,5,6,4,1,3,5,5,12,5,38,8,12,22,1298,3,1,7,11
7,6,5,3,4,0,3,54,1,10,1,2,21,4,1,506,1,7,7
12,12,7,2,4,1,27,17,5,13,15,6,9,72,15,3,436,6,13
10,19,4,0,1,0,1,18,10,3,9,26,14,5,3,6,1,1213,44
16,29,10,5,2,6,31,39,63,17,47,61,54,17,17,15,8,136,527
