476,8,11,10,21,3,10,104,7,78,4,22,65,42,5,83,11,32,50
8,398,1,13,3,0,7,30,0,18,0,17,17,1,1,7,10,21,40
7,3,1392,5,3,21,6,7,3,34,10,58,25,5,22,5,8,13,29
7,6,2,578,7,9,9,7,0,14,0,27,20,32,3,10,6,24,8
10,3,2,3,368,1,4,15,1,21,2,7,5,2,1,2,1,4,5
5,5,57,13,2,1152,3,4,1,35,3,29,12,3,5,6,2,9,7
2,2,8,10,1,1,405,1,6,36,0,41,16,22,5,0,19,2,38
39,9,6,3,12,1,10,984,0,135,2,14,40,23,2,40,12,28,26
2,0,6,1,0,0,14,12,1409,2,4,12,9,6,4,1,3,11,65
14,4,5,6,17,11,19,80,0,777,2,6,19,41,3,8,12,6,16
16,2,58,9,6,19,21,11,7,17,288,76,62,5,35,0,12,18,42
13,4,27,6,4,11,32,20,4,29,9,649,42,6,7,13,7,26,113
53,10,13,4,1,10,5,57,1,71,3,34,1078,34,7,71,4,25,122
10,5,7,12,2,3,18,36,1,53,1,7,25,1056,2,5,106,9,28
10,5,24,11,4,9,9,7,7,29,5,12,22,29,1232,6,6,9,23
17,2,4,4,5,0,1,64,0,26,0,2,10,6,0,469,2,15,16
5,8,8,2,1,1,10,15,1,22,2,7,8,62,9,0,498,8,8
7,7,7,0,1,0,1,16,3,7,0,16,10,3,2,5,3,1220,79
16,5,24,2,0,5,40,16,14,32,7,53,51,16,10,15,15,88,691
