376,8,16,7,122,3,5,86,13,62,32,21,107,82,23,37,8,19,15
7,399,11,18,33,5,4,16,0,9,5,7,18,2,8,3,14,20,13
3,2,1464,3,8,24,4,5,5,15,30,24,12,9,31,1,4,6,6
5,4,7,594,6,23,5,4,1,7,0,22,28,45,6,3,3,5,1
2,3,3,3,398,1,2,7,1,13,3,6,9,1,0,1,0,3,1
2,4,77,9,5,1169,1,2,0,27,7,13,22,2,7,1,1,4,0
0,5,25,14,3,5,352,1,18,18,22,35,12,61,14,0,14,1,15
37,7,9,6,31,10,5,804,10,224,12,14,81,42,15,34,21,16,8
3,0,14,1,2,2,10,1,1447,3,16,8,16,3,16,0,5,7,7
5,3,9,5,33,16,18,41,1,744,10,9,31,90,8,5,12,3,3
6,4,47,4,14,18,9,4,19,11,420,22,40,9,59,0,8,6,4
5,8,84,21,12,23,29,10,22,22,42,582,54,16,25,2,12,21,32
14,7,19,6,11,6,7,24,20,58,22,19,1272,58,18,6,5,11,20
5,3,5,21,2,3,8,19,6,19,5,4,30,1169,20,2,58,4,3
3,2,27,9,2,12,3,2,13,4,24,8,12,23,1302,1,4,2,6
34,6,6,8,19,4,1,62,0,35,0,6,49,10,2,373,3,15,10
2,8,21,3,5,1,5,12,3,2,10,2,2,124,21,0,448,5,1
6,8,20,2,9,2,2,15,12,6,4,13,23,11,8,4,2,1184,56
13,32,59,11,8,5,40,14,90,22,38,60,93,35,51,3,24,102,400
